十,ten,,
用,use,,
说,Say,,
住,live,,
他,he,she,it
跳舞,dancing,dance,
哪,where,,
女,Female,,
里,in,,
鱼,fish,,
一点儿,a little,a bit,a little bit
早饭,breakfast,,
一下,a bit,a little,a little bit
喂,Hey,Hello,
哪儿,where,,
下午,in the afternoon,afternoon,
你,you,,
人,people,person,
看,Look,read,
个,A,,
今天,Nowadays,today,
见,see,meet,
音乐,music,,
东西,thing,something,
中文,Chinese,,
为什么,why,,
些,some,,
包,package,bag,
印度,India,,
去,go with,go,
因为,because,,
学习,Learn,,
帮,help,,
所以,and so,so,
拍照,Take pictures,,
新,new,,
新鲜,fresh,,
旅游,tourism,journey,
水果,fruit,fruits,
照相机,camera,,
爱好,Hobby,,
米,Meter,rice,
糖,sugar,,
给,give,hand,
苹果,apple,,
蔬菜,vegetables,vegetable,
袋,bag,,
西班牙,Spain,,
西班牙语,Spanish,,
西瓜,watermelon,,
超市,Supermarket,,
轻松,Easy,relaxed,
面包,bread,,
鸡蛋,egg,,
想,miss you,want,
中国,China,,
要,want,must,wish
三,three,,
在,in,,
快,fast,,
太,too,,
明白,understand,,
买,buy,,
朋友,friend,friends,
这,This,,
很,very,,
不,Do not,dont,not
我,I,me,
的,of,,
贵,expensive,,
是,Yes,is,
有,Have,,
吗,Is it,?,
纽约,new York,,
会,meeting,can,will
喜欢,like,,
你们,you guys,you,
英语,English language,english,
电脑,computer,,
她,she,,
他们,they,,
明天,tomorrow,,
请,please,,
两,Two,,
一,One,,
我们,we,,
吃,eat,,
和,with,and,
什么,what,,
孩子,child,,
那,that,,
医生,Doctors,doctor,
天,day,,
找,Find,,
钱,money,,
五,Fives,Five,
多少,How many,How much,
妈妈,mom,mother,
最,most,,
这里,Here,,
哪里,where,,
在,in,,
问,ask,,
便宜,Cheap,,
家人,family,,
点,point,,
忙,busy,,
咖啡,coffee,,
非常,very much,,
家,Family,,
手机,Cell phone,,
房间,room,,
听,listen,,
认识,understanding,,
老师,teacher,,
李,Lee,,
慢,slow,,
高兴,happy,,
进,Advance,,
请问,Excuse me,,
位,Bit,,
等,Wait,,
几,a few,,
茶,tea,,
她们,they,,
玩,play,,
游戏,game,,
汉语,Chinese,,
歌,song,,
每,each,,
都,All,,
唱,sing,,
哥哥,brother,,
六,six,,
岁,year old,,
它,it,,
女儿,daughter,,
七,Seven,,
张,Zhang,,
王,king,,
好久不见,long time no see,,
早安,good Morning,,
晚安,good night,,
一会儿,A while,,
好,it is good,,
一共,Total,,
学校,school,,
男,male,,
没,No,,
漂亮,Pretty,,
喝,drink,,
怎么样,how about it,,
早上,morning,,
对,Correct,,
加拿大,Canada,,
美国,United States,,
医院,hospital,,
那儿,there,,
洗手间,Restroom,,
饭馆,restaurant,,
姐姐,sister,,
这儿,here,,
爱,Love,,
回,Back to,,
上学,go to school,,
晚上,at night,,
昨天,yesterday,,
上班,To work,,
起床,get up,,
做,do,,
学生,student,,
饭,rice,,
谁,Who,,
旁边,next to,,
后面,Behind,,
左边,left,,
谢谢,Thank you,,
没关系,It's ok,,
对不起,Sorry,,
不客气,You're welcome,,
再见,Goodbye,,
下,under,,
桌子,table,,
书,book,,
狗,dog,,
椅子,chair,,
猫,Cat,,
见,see,,
上,on,,
电话,phone,,
北京,Beijing,,
号码,number,,
香港,Hong Kong,,
月,month,,
〇,〇,,
号,number,,
星期,week,,
日,day,,
二,two,,
年,year,,
服务员,Waiter,,
订位,booking,,
点菜,A la carte,,
买单,Pay the bill,,
次,Times,,
不错,Not bad,,
呢,What,,
最近,recent,,
爸爸,father,,
菜单,menu,,
坐,sit,,
英文,English,,
丈夫,husband,,
妻子,wife,,
儿子,son,,
帮助,help,,
知道,know,,
从,From,,
下,under,,
放学,After school,,
到,To,,
下班,Off work,,
晚饭,dinner,,
午饭,lunch,,
台湾,Taiwan,,
华,China,,
明,Bright,,
叫,call,,
也,and also,,
姓,name,,
外,outer,,
牛奶,milk,,
冰箱,refrigerator,,
水,water,,
冰,ice,,
英国,United Kingdom,,
国,country,,
睡觉,go to bed,,
万,Ten thousand,,
行,Row,,
块,Piece,,
热,heat,,
了,Up,,
那里,There,,
只,only,,
收,Receive,,
现金,cash,,
信用卡,credit card,,
中午,noon,,
伦敦,London,,
弟弟,Little brother,,
今年,this year,,
去年,last year,,
名字,first name,,
八,Eight,,
千,thousand,,
百,hundred,,
零,zero,,
四,four,,
分,Minute,,
九,nine,,
毛,hair,,
矮,short,,
高,high,,
可爱,lovely,,
元,yuan,,
上午,morning,,
半,half,,
天,day,,
现在,just now,,
再,again,,
韩国,Korea,,
节目,program,,
新闻,news,,
周末,weekend,,
电视,TV,,
体育,physical education,,
电影,the film,,
明星,Celebrity,,
路,road,,
走,go,,
右边,right,,
往,to,,
前面,front,,
怎么,how,,
报纸,newspaper,,
上网,Go online,,
做,do,,
干,dry,,
面,surface,,
明年,next year,,
上,on,,
妹妹,younger sister,,
分,Minute,,
